"Source:","C:\Users\dkenn\Documents\CarConsole\MultiMediaSystem\Regulator_5V\Regulator_5V.kicad_sch"
"Date:","4/24/2022 4:56:08 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","12"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C2","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C3",".01uF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"","","C4",".01uF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"","","C5","10TPB330M","Device:C_Polarized_Small","Capacitor_Tantalum_SMD:CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder","~"
"","","C6",".01uF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"","","D1","B540C","Device:D_Schottky","Diode_SMD:D_SMC-RM10_Universal_Handsoldering","~"
"","","J1","Conn_01x03","Connector_Generic:Conn_01x03","Custom:PinHeader_1x03_P2.54mm_Horizontal","~"
"","","L1","15uH","Device:L_Iron","Inductor_Coilcraft:SER2918H-103KL","~"
"","","R1","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","RV1","R_3.16k","Device:R_Potentiometer","Potentiometer_Imported:GF063P1","~"
"","","U1","TPS5450DDAR","Texas_Instruments_Regulator:TPS5450QDDARQ1","VReg:TPS5450DDAR",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","C1, C2","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"2","3","C3, C4, C6",".01uF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"3","1","C5","10TPB330M","Device:C_Polarized_Small","Capacitor_Tantalum_SMD:CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder","~"
"4","1","D1","B540C","Device:D_Schottky","Diode_SMD:D_SMC-RM10_Universal_Handsoldering","~"
"5","1","J1","Conn_01x03","Connector_Generic:Conn_01x03","Custom:PinHeader_1x03_P2.54mm_Horizontal","~"
"6","1","L1","15uH","Device:L_Iron","Inductor_Coilcraft:SER2918H-103KL","~"
"7","1","R1","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"8","1","RV1","R_3.16k","Device:R_Potentiometer","Potentiometer_Imported:GF063P1","~"
"9","1","U1","TPS5450DDAR","Texas_Instruments_Regulator:TPS5450QDDARQ1","VReg:TPS5450DDAR",""
